ID,Title,Channel_title,Country,Views,Duration(h),VivoY20s_Usage(mAh),Pocox3pro_Usage(mAh),Avg_Usage(mAh),Energy(J),Total_Energy(kJ)
210,"Erster Eindruck: Neues iPad Pro, MacBook Air & Mac Mini! - felixba",Felixba,DE,184480,0.222777778,54,,54,194.4,35863
211,Nedeljko Bajic Baja | Svetionik Official Video (2018),Official Channel Nedeljko BajiÄ‡ Baja,DE,286297,0.103611111,27,,27,97.2,27828
212,Simon Khorolskiy & Sisters – Снова весна,Simon Khorolskiy,DE,37667,0.048611111,13,,13,46.8,1763
213,Schwarzfahren mit kleinen Bruder 😂 | Best Trend Videos,Best Trend Videos,DE,273426,0.243333333,57,,57,205.2,56107
214,@Ufak Tefek Cinayetler 39. Bölüm,Ufak Tefek Cinayetler,DE,220326,2.321944444,634,,634,2282.4,502872
215,Lil Lano - Stone Island (Official Video 4K),Lil Lano,DE,209767,0.051388889,16,,16,57.6,12083
216,Erklärung von Kanzlerin Merkel: Es ist Zeit für ein neues Kapitel,spiegeltv,DE,401417,0.0475,13,,13,46.8,18786
217,24 hours challenge overnight in the halloween haunted house!!!!,Ryan's Family Review,DE,252209,0.23,55,,55,198,49937
218,Trump and Fox News’s Caravan Hysteria Reaches a Fever Pitch | The Daily Show,The Daily Show with Trevor Noah,DE,972618,0.141666667,34,,34,122.4,119048
219,♥ BABYSHOWER PARTY ♥ I Paola Maria,Paola Maria,DE,189053,0.079444444,24,,24,86.4,16334
220,Handysucht? Wieso will sie auf der Intensivstation ihr Handy haben? | Klinik am Südring | SAT.1 TV,Klinik am Südring,DE,82555,0.200277778,48,,48,172.8,14266
221,Wendy Pretend Play as Princess Ariel Mermaid Swimming Kids Birthday Pool Party,Toys and Colors,DE,1022660,0.089444444,27,,27,97.2,99403
222,[ASMR] ♡ ULTRA TINGLY TWIN EDITION | FALLING ASLEEP IN 10 MINUTES | deutsch/german,ASMR Janina,DE,392637,0.169444444,41,,41,147.6,57953
223,Beni Affet 1434. Bölüm,Beni Affet,DE,314377,0.795,188,,188,676.8,212770
224,DIY-Weihnachtsdeko: Adventskranz mit süßer Waldlandschaft [How to] Deko Kitchen (P),Deko Kitchen – Schöne Deko selber machen | Esther Straub,DE,34214,0.151388889,35,,35,126,4311
225,New Eritrean Film 2018 - MOZAIK - ሞዛይክ - Part 12,SOYRA-ERITREA,DE,64558,0.467777778,138,,138,496.8,32072
226,Happy Halloween Song | Halloween Music for Kids + More Nursery Rhymes,SOYRA-ERITREA,DE,15312,0.670277778,175,,175,630,9647
227,Beni Bırakma 143. Bölüm, Beni Bırakma,DE,101828,0.920277778,252,,252,907.2,92378
228,Pascal erhält die Test-Ergebnisse #1807 | Berlin - Tag & Nacht,Berlin - Tag & Nacht,DE,523284,0.241388889,59,,59,212.4,111146
229,Ist der LAMBO doch nicht mehr zu retten?,Nico Pliquett DE,DE,63408,0.172777778,41,,41,147.6,9359
230,Sara se rasplakala govoreći o raskidu sa Vojketom: On posle Zadruge nije bio isti,Telegraf.rs TV,DE,412997,0.125555556,31,,31,111.6,46090
231,Die Thundermans | Halloween-Süßigkeiten 🍬 | Nickelodeon Deutschland,Nickelodeon Deutschland,DE,36823,0.396388889,94,,94,338.4,12461
232,สาปกระสือ | EP.25 ตอนที่ 4/4 | 31-10-61 | ช่อง8,ThaiCh8 : ช่อง 8,DE,56501,0.724444444,180,,180,648,36613
233,VW meldet sich zurück nach Aufreger! | Dauerfehler bei Touran: Ölaustritt am Turbo,Die Autodoktoren - offizieller Kanal,DE,164109,0.404722222,96,,96,345.6,56716
234,RYAN'S MOMMY IS MISSING in the Giant Spooky Halloween Maze Box Fort !,The Studio Space,DE,289031,0.180833333,45,,45,162,46823
235,Montanablack und das Online Casino - Kuchen Talks #332,KuchenTV,DE,75810,0.188611111,47,,47,169.2,12827
236,Merkel: Reaktionen auf angekündigten Rückzug,tagesschau,DE,330526,0.0375,13,,13,46.8,15469
237,Original Sliced Finger makeup tutorial,Powdah,DE,1634615,0.222777778,58,,58,208.8,341308
238,HDMONA - Part 3 - ንጌጋ ንጌጋ ብ ናትናኤል ሙሴ Ngiega Bgiega By Natnael Mussie  New Eritrean Series Movie 2018,HDMONA NEBARIT,DE,104317,0.503333333,107,,107,385.2,40183
239,Darf ich nochmal? [subtitled] | Knallerfrauen mit Martina Hill,Knallerfrauen,DE,161701,0.033611111,18,,18,64.8,10478
240,Worst Halloween Candy Taste Test (Day 3),Good Mythical Morning,DE,1054156,0.246944444,62,,62,223.2,235288
241,"Mutter legt Kleinkind ins Bett, Stunden später hört sie Schreie und bemerkt eine versteckte Gefahr",Generation Sonnenschein,DE,16153,0.062222222,22,,22,79.2,1279
242,Siyah İnci 8. Bölüm 2. Fragman!,STAR TV,DE,233684,0.016111111,5,,5,18,4206
243,Eşkıya Dünyaya Hükümdar Olmaz 113. Bölüm,Eşkıya Dünyaya Hükümdar Olmaz,DE,582897,1.967777778,461,,461,1659.6,967376
244,Wollen wir Menschen leiden sehen? Wie entscheiden andere über unser Leben? | Galileo | ProSieben,Galileo,DE,199088,0.253055556,63,,63,226.8,45153
245,Shirin David: KRASSE Ansage & neue Nase! â€¢ Dreist: Wir werden KOPIERT! | #HalloWWWeen,World Wide Wohnzimmer,DE,99906,0.1575,37,,37,133.2,13307
246,Daughter Of The Moon Season 1 - (New Movie) 2018 Latest Nigerian Nollywood Movie Full HD | 1080p,Nollywoodpicturestv,DE,59458,0.543888889,160,,160,576,34248
247,How On Earth Does An Omega Z-33 Work? | Watchfinder & Co.,Watchfinder & Co.,DE,2170302,0.122222222,31,,31,111.6,242206
248,Azhagu - Tamil Serial | அழகு | Episode 290 | Sun TV Serials | 31 Oct 2018 | Revathy | Vision Time,Vision Time Tamil,DE,486530,0.345833333,85,,85,306,148878
249,Nicki v. Cardi...AGAIN,The Wendy Williams Show,DE,474707,0.494166667,138,,138,496.8,235834
250,Shakti - Latest Upcoming Twist | Colors Tv Shakti Astitva Ke Ehsaas Ki,pressnews tv,DE,122925,0.025833333,12,,12,43.2,5310
251,أخيرا إرتفاع في 2019 للحد الاذنى للأجور Mindestlohn في ألمانيا و هنا تكسب أكتر في الساعة,MaroWeltShow,DE,28210,0.096388889,25,,25,90,2539
252,Ceylan ve kayınpederi arasındaki tartışma bir anda kavgaya döndü! - Esra Erol'da 22 Şubat 2022,Esra Erol'da,DE,171866,0.237777778,63,,63,226.8,38979
253,สายรัก สายสวาท | EP.4 (FULL HD) | 30 เม.ย.61 | one31,one31,DE,49098,1.091666667,275,,275,990,48607
254,Eli Türkoğlu - Yokluğunun Ertesi,netd müzik,DE,283989,0.054722222,22,,22,79.2,22492
255,"Ellen's Backstage Scares Featuring Kris Jenner, Ciara and Her Staff",TheEllenShow,DE,408612,0.038333333,13,,13,46.8,19123
256,Randale im Hotel: Was hat sie zu verbergen? | #PaulRichterTag | Auf Streife | SAT. 1 TV,Auf Streife,DE,36846,0.267222222,67,,67,241.2,8887
257,"Bumbling President Trump Booster Botches Mueller Smear, Implicates Own Mom | Rachel Maddow | MSNBC",MSNBC,DE,358211,0.197777778,48,,48,172.8,61899
258,NRG BAND -  Ani mori Nuse ( Official Video ),NRG BAND,DE,120959,0.050555556,18,,18,64.8,7838
259,WER ist der TÄTER?! - 10 HALLOWEEN-FAKTEN !,ApeCrimeTV,DE,185365,0.1875,42,,42,151.2,28027
260,Omour Jedia S03 Ep06 30 10 2018 P01,Elhiwar Ettounsi,DE,162000,0.776944444,184,,184,662.4,107309
261,Tayo und Duri sind Stadthelden l Spielzeit 3 Folge 16 l Tayo Der Kleine Bus,Tayo Der Kleine Bus,DE,66834,0.556111111,133,,133,478.8,32000
262,Dame Tu cosita ñ,Diogendy Rodriguez,DE,85889,0.008333333,2,,2,7.2,618
263,DARA BUBAMARA - ALL INCLUSIVE (OFFICIAL VIDEO),OfficialDaraOnline,DE,220051,0.059166667,21,,21,75.6,16636
264,MIXING RANDOM THINGS INTO SLIME!!! MOST SATISFYING SLIME VIDEO,Satisfying Slime Videos,DE,744275,0.164166667,40,,40,144,107176
265,JP Performance - Nissan GTR R35 Carbon Teile!,JP Performance,DE,434668,0.271388889,67,,67,241.2,104842
266,（ዘመን ）ZEMEN Part 138,ZEMENTV,DE,218990,0.6875,166,,166,597.6,130868
267,تحدي لا تختار ماء السلايم الخاطئ !!! Don’t Choose the Wrong Water Bottle Slime Challenge,shfa,DE,550298,0.173333333,41,,41,147.6,81224
268,Bizim Hikaye 45. Bölüm,Bizim Hikaye,DE,462902,2.531388889,689,,689,2480.4,1148182
269,Te vreau langa mine! (31.10.2018) - Editie COMPLETA,Kanal D Romania,DE,23864,1.304166667,298,,298,1072.8,25601
270,"Jokes Seth Can't Tell: Lesbian Penguins, National Color Day",Late Night with Seth Meyers,DE,277747,0.085833333,25,,25,90,24997
271,Avlu 18. Bölüm 2. Fragman,Avlu,DE,593759,0.010277778,3,,3,10.8,6413
272,Ege'nin Hamsisi - 15.Bölüm,Ege'nin Hamsisi,DE,136955,2.176388889,591,,591,2127.6,291385
273,"Naayagi Episode 216, 31/10/18",VikatanTV,DE,701539,0.355277778,87,,87,313.2,219722
274,3 einfache KÜRBIS REZEPTE | JANAlecker,JANAklar,DE,18102,0.241111111,62,,62,223.2,4040
275,WIE VIEL IST DEIN OUTFIT WERT ?💸🔥 HYPEBEAST EDITION 🔥💸 | STREET UMFRAGE | ITS LION,Lion,DE,24707,0.173055556,44,,44,158.4,3914
276,Motivationstraining für Jakob: Wird er seine Faulheit überwinden? | Late Night Berlin | ProSieben,Late Night Berlin,DE,103070,0.134166667,32,,32,115.2,11874
277,Ki Jaana Mein Kaun Episode #34 HUM TV Drama 31 October 2018,HUM TV,DE,247479,0.651111111,187,,187,673.2,166603
278,Das Supertalent 2018 | Folge 07 am 03.11.2018 bei RTL und online bei TV NOW,Das Supertalent,DE,27348,0.011666667,3,,3,10.8,295
279,MAsterChef Türkiye - Murat küfür Etti Juri Kovdu!,marry,DE,1781460,0.020555556,3,,3,10.8,19240
280,Co mówią: NA HALLOWEEN,AbstrachujeTV,DE,507844,0.109444444,33,,33,118.8,60332
281,I Lost My Best Friend Over Drama At The Halloween Dance,storybooth,DE,1757979,0.0575,22,,22,79.2,139232
282,"DJULIA FT. DENIS TEOFIKOV - Op-op / Джулия ft. Денис Теофиков - Оп-оп, 2018",PlanetaOfficial,DE,157714,0.053333333,22,,22,79.2,12491
283,Keira Knightley & Mackenzie Foy Answer the Web's Most Searched Questions | WIRED,WIRED,DE,193411,0.116388889,34,,34,122.4,23674
284,Tanjir Strave - Ami G Show S11 - E08,AmiG Show,DE,96579,0.119444444,34,,34,122.4,11821
285,صرخة روح ـ خيانة خرساء الحلقة 1 الأولى ـ هبة نور ـ يزن السيد ـ محمد خير الجراح,Sham Drama شام دراما,DE,1166682,0.748888889,179,,179,644.4,751810
286,Pencilmate Spots a Huge Asteroid! -in- SEIZE THE DOOMSDAY - Pencilmation Cartoons for Kids,Pencilmation,DE,784055,0.528611111,148,,148,532.8,417745
287,"ASMR Typing on 3 Different Keyboards [Black Widow, Ornata Chroma, Apple]",Gibi ASMR,DE,250245,0.516388889,143,,143,514.8,128826
288,9 GRUSELIGE HALLOWEEN PRANKS! LEHRER STREICHE! PRANKS FÃœR DIE SCHULE!,Troom Troom De,DE,179165,0.2,48,,48,172.8,30960
289,"Crime Patrol Dastak - Ep 895 - Full Episode - 29th October, 2018",SET India,DE,49481,0.771944444,183,,183,658.8,32598
290,Alice Weidel und Alexander Gauland zu Angela Merkels angekÃ¼ndigtem RÃ¼ckzug am 29.10.18,phoenix,DE,213687,0.142222222,33,,33,118.8,25386
291,MIRACULOUS 🐞 ALLER ANFANG IST SCHWER (TEIL 1) - Der Anfang 🐞 Geschichten von Ladybug und Cat Noir,MIRACULOUS - Geschichten von Ladybug und Cat Noir,DE,26640,0.3525,127,,127,457.2,12180
292,Doi Degeaba Halloween Special,Doi Degeaba,DE,338337,0.053888889,22,,22,79.2,26796
293,Music bank in berlin - Stray kids - My pace 20181031,KBSKpop,DE,32779,0.058611111,23,,23,82.8,2714
294,வாணி ராணி - VAANI RANI - Episode 1711 - 31-10-2018,RadaanMedia,DE,186186,0.345833333,126,,126,453.6,84454
295,Das war knapp!,yeeeh,DE,11199,0.0025,1,,1,3.6,40
296,"SIDE CHICK 16, KOFO'S DESPERATION",Splendid TV,DE,64764,0.118333333,30,,30,108,6995
297,Die magische Kuh | Magic Cow Story in German | Deutsche MÃ¤rchen,German Fairy Tales,DE,21930,0.164166667,40,,40,144,3158
298,Granny - Halloween (Ziua 5) | SEZONUL 2,Eduard Denis,DE,127124,0.163888889,40,,40,144,18306
299,Bruno Mars - Finesse (James Smith) | The Voice of Germany | Blind Audition,The Voice of Germany - Offiziell,DE,104775,0.035,12,,12,43.2,4526
300,Czego NIE robiÄ‡ w HALLOWEEN,WAKSY,DE,853958,0.193611111,50,,50,180,153712
301,Thiago AlcÃ¡ntara verletzt? DFB-Pokal-Update! Sancho sahnt ab! Barcelona will DembÃ©lÃ© verkaufen?,Onefootball Deutschland,DE,48722,0.104166667,32,,32,115.2,5613
302,"นายพล ฉีกสัญญา ""อาม ชุติมา"" ต่อหน้า ""อัจฉริยะ - ทนายสงกานต์"" l EP.320 l 30 ต.ค.61", โหนกระแส (Hone-Krasae) Official ,DE,2445586,0.504722222,136,,136,489.6,1197359
303,Fear Pong: Halloween (Kaya & Christian vs. Kat & Chris) | Fear Pong | Cut,Cut,DE,224979,0.149722222,34,,34,122.4,27537
304,STURMWAFFEL als HULK HOGAN? Cheap Cosplay mit LIECHEE,"Guten Morgen, Internet!",DE,16558,0.216944444,59,,59,212.4,3517
305,"Alter, Herkunft, Name erraten | Street Comedy mit Henry 😂 🙈 #Teamjounes",Jounes Amiri,DE,67740,0.169166667,42,,42,151.2,10242
306,Kelly Clarkson's Wowed by Abby Cates' Confident Cover of Because of You - The Voice 2018 Knockouts,The Voice,DE,550553,0.034166667,18,,18,64.8,35676
307,Dil Mom Ka Diya Episode 20 - 30th October 2018 - ARY Digital Drama,ARY Digital,DE,905828,0.675,175,,175,630,570672
308,Funny Musical Waiter | Rudy Mancuso,Rudy Mancuso,DE,687596,0.08,30,,30,108,74260
309,FEEDING my BIG TARANTULAS !!! * ðŸŽƒHalloween CRINGE Special ðŸŽƒ*,Exotics Lair,DE,77125,0.393888889,144,,144,518.4,39982
310,"NAZAR NUR KAYA ABLASINA BENÄ° BURADA BIRAKMA ABLA, GERÄ° ALAMAYACAKSIN DEMÄ°Åž! Ä°HA",M. HÃ¼seyin BaÄŸÃ§eci,DE,47527,0.081111111,25,,25,90,4277
311,Heißer Besuch! - Bleibt George Meike treu?! 🔥💔 | Köln 50667 #2307,Köln 50667,DE,38264,0.28,97,,97,349.2,13362
312,ห่อหมกฮวกเอาไปฝากป้า - ยิม | I Can See Your Voice -TH,WorkpointOfficial,DE,74849,0.028055556,13,,13,46.8,3503
313,"Zadruga 2 - Brendon vređa Minu, ona ga ignoriše - 30.10.2018.",Zadruga Official,DE,348424,0.135277778,32,,32,115.2,40138
314,"Manzoor-e-Khuda Song Teaser | Thugs Of Hindostan | Aamir, Katrina, Fatima, Ajay-Atul, A Bhattacharya",YRF,DE,3341762,0.068888889,22,,22,79.2,264668
315,MasterChef TÃ¼rkiye'ye veda eden isim belli oldu! | 18.BÃ¶lÃ¼m | MasterChef TÃ¼rkiye,MasterChef TÃ¼rkiye,DE,327538,0.572222222,137,,137,493.2,161542
316,2019 iPad Pro Impressions: Incredibly Thin!,Marques Brownlee,DE,2252418,0.110277778,29,,29,104.4,235152
317,"Taarak Mehta Ka Ooltah Chashmah - Ep 2588 - Full Episode - 29th October, 2018",SAB TV,DE,55418,0.340833333,114,,114,410.4,22744
318,ALIEN 👽PALETTE & HOLIDAY 2018 COLLECTION REVEAL | Jeffree Star Cosmetics,jeffreestar,DE,948603,0.442222222,134,,134,482.4,457606
319,Kann man die Stringtheorie testen? | Harald Lesch,Terra X Lesch & Co,DE,27204,0.101388889,26,,26,93.6,2546
320,Idhak maana | أحمد الأندلسي يعنف لبنى السديري,Attessia TV,DE,561616,0.087222222,25,,25,90,50545
321,10 MIN SWEAT WORKOUT | Full Body Sweat for Fat Burning // No Equipment | Pamela Reif,Pamela Rf,DE,130015,0.225277778,67,,67,241.2,31360
322,Ariana Grande - God is a Woman (Ariana Grande At The BBC),BBC Music,DE,1004266,0.056944444,18,,18,64.8,65076
323,ประกาศิตกามเทพ PrakasitKammathep EP.11 | 06-09-62 | Ch3Thailand,Ch3Thailand,DE,114841,1.393333333,339,,339,1220.4,140152
324,9 DIY Giant Candy vs Miniature Candy / Funny Pranks!,Troom Troom,DE,1404407,0.210555556,69,,69,248.4,348855
325,Carla's Dreams - Ca Benzina | Nocturn: Act 2,Carla's Dreams,DE,86981,0.061944444,21,,21,75.6,6576
326,MERA KHUDA JANAY - Episode 27 | HAR PAL GEO,HAR PAL GEO,DE,200283,0.613055556,148,,148,532.8,106711
327,[IZ*ONE] IZ*ONE(아이즈원) - 내꺼야 (PICK ME) Dance Practice 12.ver,official IZ*ONE,DE,7777735,0.081944444,24,,24,86.4,671996
328,How We First Met ft Stefanie Giesinger,JustMarcus,DE,228572,0.098888889,30,,30,108,24686
329,Zülfikar hapishaneye giriyor,Selena,DE,58249,0.268333333,76,,76,273.6,15937
330,SBS-IN | 100 seconds team dance in Master Key Ep. 1 with EngSub,sNack!,DE,52442,0.333333333,116,,116,417.6,21900
331,"Seda Sayan taktiklerini geliştirdi! ""Korkun benden"" | O Ses Türkiye 2018",O Ses Türkiye ,DE,87235,0.048888889,17,,17,61.2,5339
332,Dice Media | What The Folks (WTF) | Web Series | S02E03 - Spilling the Beans,Dice Media,DE,977388,0.398055556,131,,131,471.6,460936
333,Gelin Evi 609. Bölüm | 2 Kasım 2018,Gelin Evi,DE,61961,1.539166667,361,,361,1299.6,80525
334,We UPGRADED the $69 Gaming PC and it ROCKS!,Linus Tech Tips,DE,931956,0.290833333,86,,86,309.6,288534
335,Ses yarışmasıyla tanınan Nazar Nur Kaya son yolculuğuna uğurlandı,Demirören Haber Ajansı ,DE,193746,0.065555556,21,,21,75.6,14647
336,LA PEUR DE MA VIE DANS UNE MAISON HANTÃ‰E !!,Tibo InShape,FR,1402757,0.216944444,70,,70,252,353495
337,CHASSE AUX BONBONS ET DÉGUSTATION HALLOWEEN 2018 - LA FAMILLE DÉMO JOUETS,Démo Jouets ,FR,56241,0.283611111,67,,67,241.2,13565
338,Contrat d'Amitié,Lolywood,FR,1008245,0.0775,23,,23,82.8,83483
339,"RED DEAD YOUTUBERS, LES APPRENTIS COWBOYS",Wankil Studio - Laink et Terracid,FR,262580,0.536666667,144,,144,518.4,136121
340,JE CHANGE D'IDENTITÉ...,Farod,FR,97812,0.084166667,25,,25,90,8803
341,"Halloween Prank! | feat. Kylian Mbappe, Thiago Silva , Nkunku, Areola ...",PSG - Paris Saint-Germain,FR,394842,0.054722222,20,,20,72,28429
342,L'ATTAQUE DU MONSTRE D'HALLOWEEN !!! 🎃💀Children pretend play halloween nightmare,Swan The Voice - Neo & Swan ,FR,524087,0.261944444,75,,75,270,141503
343,Je crée des Dessins SURPRISES ? (Mode horreur),TutoDraw,FR,77429,0.091111111,26,,26,93.6,7247
344,Et Si La Révolution Française N'avait Pas eu Lieu ? (en 360s),Poisson Fécond ,FR,355506,0.149722222,46,,46,165.6,58872
345,Kenza Farah - Bandit (Clip Officiel),kenzafarahVEVO,FR,37498,0.056944444,19,,19,68.4,2565
346,Ridsa feat. Eva Guess - On s'est manqué [Clip officiel],ridsaofficiel,FR,47821,0.054444444,19,,19,68.4,3271
347,SCH - Le Code (Clip officiel),SCH,FR,375593,0.050833333,18,,18,64.8,24338
348,♡• LE GÂTEAU LE PLUS HORRIBLE AU MONDE ! •♡,L'atelier de Roxane,FR,129458,0.146388889,45,,45,162,20972
349,LES MAINS LES PLUS RAPIDES ET LES PLUS FORTES DU MONDE | Lama Faché,Lama FachÃ©,FR,142777,0.141944444,45,,45,162,23130
350,Chansons Halloween 2018 || Musique Halloween 2018 || Musique Halloween en FranÃ§ais,Musique Romantique,FR,27223,1.148055556,265,,265,954,25971
351,VITAA - Je te le donne - En duo avec Slimane (Clip Officiel),VITAA,FR,379005,0.065277778,21,,21,75.6,28653
352,"Des moules, du sperme et des grimaces - Parlons peu Mais parlons !","Parlons peu, mais Parlons !",FR,35466,0.066666667,22,,22,79.2,2809
353,LES TOURS DE MAGIE LES PLUS FLIPPANTS D'HALLOWEEN,Studio Danielle,FR,101086,0.078611111,23,,23,82.8,8370
354,NEGUINE MEURT LE SOIR D’HALLOWEEN 😱⚰️ [HORREUR],Sisters Alipour,FR,65690,0.085277778,25,,25,90,5912
355,"Soolking ""Karim & Nono"" #PlanèteRap",SkyrockFM,FR,480934,0.053055556,19,,19,68.4,32896
356,"Appels à ""la purge"" contre des policiers dans plusieurs villes, le décryptage de David Beaux",FRANCE 24,FR,23622,0.075,23,,23,82.8,1956
357,Un ancien détenu nous fait visiter sa prison (abandonnée),Mamytwink,FR,175134,0.239722222,73,,73,262.8,46025
358,"Top 5 des peurs d'adultes, les frayeurs PEGI 18",Topito,FR,109784,0.061666667,20,,20,72,7904
359,🔦 5 THÉORIES SUR UNE MINE HANTÉE (#72),Didi Chandouidoui,FR,233661,0.206666667,69,,69,248.4,58041
360,CETTE VITRE ARRÊTE DES BALLES DE AK-47 !,e-dison,FR,62338,0.191388889,51,,51,183.6,11445
361,Super Seducer 2 - Episode 4 - Mamoudh et son harem,Bazar du Grenier,FR,82679,0.550555556,158,,158,568.8,47028
362,Marwa Loud #GâchéChallenge,Marwa Loud,FR,144391,0.0425,15,,15,54,7797
363,Angie tente de s'évader d'une prison TERRIFIANTE !!! Film d'HORREUR d'HALOWEEN Angie maman 2.0,Angie Maman 2.0,FR,78676,0.230277778,69,,69,248.4,19543
364,Les Vacances des Anges 3 (Replay entier) - Episode 43,Les Anges - La chaîne officielle,FR,49396,0.781666667,183,,183,658.8,32542
365,MBETTEL SAISON 3 EPISODE 19,Okay.africa,FR,496564,0.465,138,,138,496.8,246693
366,17 TOURS DE MAGIE QUE VOUS POUVEZ FAIRE TOUT DE SUITE,Troom Troom FR,FR,84675,0.172777778,48,,48,172.8,14632
367,"Maéva (LMvsMonde3): Carla pense qu'elle a couché avec Kevin, Avertissement prod & Grosse baston avec",sam zirah,FR,533432,0.422777778,127,,127,457.2,243885
368,Georgio - J'en Sais Rien (Clip Officiel),Georgioxv3,FR,192297,0.045555556,16,,16,57.6,11076
369,Pod et Marichou - Saison 3 - Episode 13,Marodi TV Sénégal,FR,587724,0.539444444,137,,137,493.2,289865
370,"99,5% DE MALAISE ! (TIK TOK)",Amixem,FR,2727623,0.238611111,69,,69,248.4,677542
371,"THE WITCHER Bande Annonce TEASER (2019) Henry Cavill, SÃ©rie Netflix HD",FilmsActu,FR,38826,0.013611111,4,,4,14.4,559
372,Nastya and papa pretend play with magic TV,Stacy Toys,FR,601071,0.071111111,22,,22,79.2,47605
373,25 COOL HAIRSTYLES TO MAKE UNDER A MINUTE,5-Minute Crafts GIRLY,FR,1464286,0.283888889,76,,76,273.6,400629
374,Enquête paranormale S03-EP5: Le château de la conjuration !,JORDAN PERRIGAUD ,FR,16555,1.835277778,397,,397,1429.2,23660
375,"Naayagi Episode 216, 31/10/18",VikatanTV,FR,701539,0.355277778,93,,93,334.8,234875
376,D. Ace - Les 7 Péchés Capitaux - ( L'Orgueil #7 ),D. Ace Officiel,FR,178649,0.064722222,21,,21,75.6,13506
377,Une histoire de trous... (ça c'est du titre !),FabienOlicard,FR,58314,0.169444444,48,,48,172.8,10077
378,Omour Jedia S03 Ep06 30 10 2018 P02,Elhiwar Ettounsi,FR,185324,0.5575,143,,143,514.8,95405
379,Azhagu - Tamil Serial | அழகு | Episode 290 | Sun TV Serials | 31 Oct 2018 | Revathy | Vision Time,Vision Time Tamil,FR,486530,0.345833333,112,,112,403.2,196169
380,Un gars une fille - best of - malades,Un gars une fille | Officiel,FR,59394,0.105555556,32,,32,115.2,6842
381,"Neymar massacre une chanson, Génésio recadre Depay, Nouveau maillot à gagner ! – La Quotidienne #346",Téléfoot ,FR,100014,0.106944444,31,,31,111.6,11162
382,EN DIRECT - Meeting de Jean-Luc Mélenchon à Lille - #JLMLille,JEAN-LUC MÉLENCHON ,FR,92284,1.913888889,421,,421,1515.6,139866
383,HALLOWEEN - JAYMAXVI,Jaymax VI,FR,298350,0.164444444,46,,46,165.6,49407
384,HALLOWEEN : MES RECETTES EFFRAYANTES !,Juju Fitcats,FR,196787,0.271388889,76,,76,273.6,53841
385,JE DÉCOUVRE CE QUE MON ABONNÉ A ACHETÉ AVEC MES PLUS DE 1000€,GameMixTreize,FR,85314,0.255555556,74,,74,266.4,22728
386,J’AFFRONTE LA FEMME D'UN JOUEUR DU PSG !,Wass Freestyle,FR,895029,0.113055556,37,,37,133.2,119218
387,When characters are DUMB - Mini SHUT UP (Halloween Special),MJ - FERMEZ LA,FR,41338,0.202222222,65,,65,234,9673
388,Idhak Maana - Ep04 P01 | اضحك معنا الحلقة 4 الجزء الأول,Attessia TV,FR,146702,0.988888889,261,,261,939.6,137841
389,صريح جدا: هل صحيح أن النساء ماديات و تفضلن الرجل الغني,Ennahar tv,FR,29639,0.1225,38,,38,136.8,4055
390,Le toc toc toc : spécial rock'n'roll,Touche pas Ã  mon poste !,FR,18534,0.227777778,69,,69,248.4,4604
391,Kalyana Veedu | Tamil Serial | Episode 168 | 31/10/18 |Sun Tv |Thiru Tv,THIRU TV,FR,162193,0.326111111,112,,112,403.2,65396
392,ROJA Serial | Episode 168 | Priyanka | SibbuSuryan | SunTV Serial |Saregama TVShows,Saregama TVShows,FR,449408,0.331111111,113,,113,406.8,182819
393, வாணி ராணி - VAANI RANI - Episode 1711 - 31-10-2018,RadaanMedia,FR,186186,0.345833333,83,,83,298.8,55632
394,OM VS PSG 0-2 DEBRIEF (POURQUOI MBAPPE?),Mohamed Henni,FR,1892898,0.087222222,25,,25,90,170361
395,MIXING RANDOM THINGS INTO SLIME!!! MOST SATISFYING SLIME VIDEO,Satisfying Slime Videos,FR,744275,0.164166667,47,,47,169.2,125931
396,#78 GẠO NẾP GẠO TẺ | Phim Gia Đình Việt 2018,Vie Channel - HTV2 ,FR,1713531,0.727222222,176,,176,633.6,1085693
397,Twitch Con 2018 - VeryEpic Cringe Compilation (funny moments 🤣😅),PewDiePie,FR,3432046,0.202222222,69,,69,248.4,852520
398,ROSALÍA - DI MI NOMBRE (Cap.8: Éxtasis),RosaliaVEVO,FR,1188373,0.050277778,18,,18,64.8,77007
399,Wendy Pretend Play as Princess Ariel Mermaid Swimming Kids Birthday Pool Party,Toys and Colors,FR,1022660,0.089444444,25,,25,90,92039
400,Daughter Of The Moon Season 1 - (New Movie) 2018 Latest Nigerian Nollywood Movie Full HD | 1080p,Nollywoodpicturestv,FR,59458,0.543888889,127,,127,457.2,27184
401,Manu Payet - Matter des sÃ©ries,Montreux Comedy,FR,52775,0.131388889,39,,39,140.4,7410
402,Marina Épisode 33 - Complet en français - HD 720,Amanda Cyite,FR,38302,0.686388889,177,,177,637.2,24406
403,Hornet La Frappe - Rolls feat. Lacrim (Clip officiel),Hornet La Frappe,FR,1421544,0.073888889,22,,22,79.2,112586
404,Banoffee | LA RECETTE DE LA SEMAINE | Inspiration La GarÃ§onne Butterscotch de Cluse,THE WORLD OF SISTERS,FR,21040,0.090555556,27,,27,97.2,2045
405,Episode 34 - Beet El Salayef Series | الحلقة الرابعة والثلاثون - مسلسل بيت السلايف,AlNaharDrama,FR,59321,0.4675,138,,138,496.8,29471
